alg,dataset,queries,delay,throughput
RHO,D,8,3500,5.2749
RHO,D,8,4000,7.768
RHO,D,8,4500,10.4531
RHO,D,8,5000,15.3412
RHO,D,8,5500,20.7979
RHO,D,8,6000,27.69
RHO,D,8,6500,27.7364
RHO,D,8,7000,27.6451
RHO,D,8,7500,27.6576
RHO,D,8,8000,27.6506
RHO,D,8,8500,27.737
RHO,D,8,9000,27.6137
RHO,D,8,9500,27.3429
RHO,D,8,10000,27.3451
RHO,D,8,10500,27.3629
RHO,D,8,11000,27.5024
RHO,D,8,11500,27.6153
RHO,D,8,12000,27.6362
RHO,D,8,12500,27.6828
RHO,D,8,13000,27.4211
RHO,D,8,13500,27.6403
RHO,D,8,14000,27.6163
RHO,D,8,14500,27.5966
RHO,D,8,15000,27.5867
MCJoin,D,8,500,0.2586
MCJoin,D,8,1000,0.3705
MCJoin,D,8,1500,0.4771
MCJoin,D,8,2000,0.4819
MCJoin,D,8,2500,0.4951
MCJoin,D,8,3000,0.5118
MCJoin,D,8,3500,0.5206
MCJoin,D,8,4000,0.5325
MCJoin,D,8,4500,0.5448
MCJoin,D,8,5000,0.5735
MCJoin,D,8,5500,0.5829
MCJoin,D,8,6000,0.6036
MCJoin,D,8,6500,0.6154
MCJoin,D,8,7000,0.6376
MCJoin,D,8,7500,0.6457
MCJoin,D,8,8000,0.694
MCJoin,D,8,8500,0.7294
MCJoin,D,8,9000,0.7479
MCJoin,D,8,9500,0.8052
MCJoin,D,8,10000,0.8477
MCJoin,D,8,10500,0.9144
MCJoin,D,8,11000,0.9538
MCJoin,D,8,11500,0.9996
MCJoin,D,8,12000,1.2093
MCJoin,D,8,12500,1.275
MCJoin,D,8,13000,1.3482
MCJoin,D,8,13500,1.4117
MCJoin,D,8,14000,1.4737
MCJoin,D,8,14500,1.5782
MCJoin,D,8,15000,1.9603
PaMeCo,D,8,500,0.2402
PaMeCo,D,8,1000,0.2545
PaMeCo,D,8,1500,0.2594
PaMeCo,D,8,2000,0.2704
PaMeCo,D,8,2500,0.2917
PaMeCo,D,8,3000,0.2976
PaMeCo,D,8,3500,0.334
PaMeCo,D,8,4000,0.3745
PaMeCo,D,8,4500,0.4209
PaMeCo,D,8,5000,0.5545
PaMeCo,D,8,5500,0.9811
PaMeCo,D,8,6000,1.093
PaMeCo,D,8,6500,1.8743
PaMeCo,D,8,7000,4.0767
PaMeCo,D,8,7500,6.1121
PaMeCo,D,8,8000,22.1886
PaMeCo,D,8,8500,22.1529
PaMeCo,D,8,9000,22.6556
PaMeCo,D,8,9500,22.0691
PaMeCo,D,8,10000,22.3035
PaMeCo,D,8,10500,22.6027
PaMeCo,D,8,11000,22.4416
PaMeCo,D,8,11500,22.5884
PaMeCo,D,8,12000,22.3132
PaMeCo,D,8,12500,22.1294
PaMeCo,D,8,13000,22.3124
PaMeCo,D,8,13500,21.9587
PaMeCo,D,8,14000,22.0168
PaMeCo,D,8,14500,22.3298
PaMeCo,D,8,15000,22.1041
